# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	239737
#@/user_id	0278165e-67a8-4678-b168-f946133cb532
a 	啊	c=695 d=0.85402 t=239737
a 	阿	c=7 d=8.28932e-29 t=239737
a bao 	阿寶	c=15 d=0.000179818 t=239737
a fei 	阿飛	c=1 d=2.59329e-05 t=239737
a fu 	阿福	c=2 d=1.40738e-261 t=239737
a gen ting 	阿根廷	c=1 d=5.70363e-248 t=239737
a he 	呵呵	c=0 d=0 t=239737
a hong 	阿訇	c=2 d=5.82711e-59 t=239737
a ke su 	阿克蘇	c=1 d=0 t=239737
a la shan 	阿拉善	c=2 d=3.18337e-261 t=239737
a la si jia 	阿拉斯加	c=2 d=4.51783e-65 t=239737
a li 	阿里	c=47 d=1.59586e-05 t=239737
a li ba ba 	阿里巴巴	c=1 d=4.6355e-44 t=239737
a li yun 	阿里雲	c=16 d=7.93755e-107 t=239737
a mi 	阿米	c=1 d=0 t=239737
a qiang 	阿強	c=1 d=5.70321e-159 t=239737
a r c h 	Arch	c=1 d=2.49469e-284 t=239737
a si dun 	阿斯頓	c=0 d=0 t=239737
a si dun fa shi dao fang 	阿斯頓法師道昉	c=1 d=0 t=239737
a tu 	阿土	c=0 d=6.0448e-256 t=239737
a yi 	阿姨	c=26 d=8.09154e-39 t=239737
a yo 	啊喲	c=1 d=6.63775e-298 t=239737
ai 	唉	c=58 d=0.020446 t=239737
ai 	愛	c=16 d=1.80823e-57 t=239737
ai 	捱	c=1 d=1.78076e-24 t=239737
ai da 	捱打	c=2 d=0 t=239737
ai dao de 	挨刀的	c=1 d=2.53047e-40 t=239737
ai fa 	愛發	c=0 d=0 t=239737
ai ge 	挨個	c=2 d=8.63769e-219 t=239737
ai guo 	愛國	c=2 d=3.70783e-64 t=239737
ai mei 	曖昧	c=1 d=3.31122e-86 t=239737
ai pu sheng 	愛普生	c=2 d=7.9254e-89 t=239737
ai qing 	愛情	c=1 d=0 t=239737
ai ru 	愛茹	c=1 d=3.83418e-164 t=239737
ai wu 	愛物	c=0 d=0 t=239737
ai ya 	哎呀	c=1 d=5.8575e-32 t=239737
ai zen me yang 	愛怎麼樣	c=1 d=0 t=239737
ai zheng 	癌症	c=7 d=0 t=239737
ai zi 	艾滋	c=4 d=1.55233e-243 t=239737
ai zi bing 	艾滋病	c=1 d=1.24512e-226 t=239737
amazon 	Amazon	c=1 d=1.54693e-250 t=239737
an 	安	c=7 d=5.03409e-132 t=239737
an 	岸	c=1 d=3.67448e-281 t=239737
an 	按	c=148 d=0.603506 t=239737
an ban 	案板	c=3 d=3.72309e-246 t=239737
an bian 	岸邊	c=3 d=0 t=239737
an chu 	暗處	c=1 d=2.24165e-26 t=239737
an dian 	按點	c=3 d=2.93732e-235 t=239737
an ding 	安定	c=1 d=0 t=239737
an fu 	安撫	c=1 d=0 t=239737
